id,condition,if_search_factor,start,end,duration,time_diff_exploration,chart,code,time_elapse_from_start,search_content
1,foresight,search,1.48986E+12,1.48986E+12,144,121349,Equinix ,82480,62203,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,247,121349,Discovery Communications,97572,62347,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,1362,121349,Cabot Oil & Gas ,13172,62594,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,703,121349,Discovery Communications,97572,63956,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,247,121349,Equinix ,82480,64659,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,185,121349,Diamond Offshore Drilling ,18614,64906,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,39,121349,Wynn Resorts,19091,65091,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,120,121349,Anadarko Petroleum ,13024,65186,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,263,121349,CBRE Group ,97562,65306,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,65,121349,Anadarko Petroleum ,13024,65569,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,144,121349,First Solar,167230,65634,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,32,121349,Amphenol ,18162,65778,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,264,121349,Sigma-Aldrich ,14160,65810,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,136,121349,NetApp,13881,66074,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,48,121349,Sealed Air,14142,66210,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,128,121349,Kansas City Southern,18788,66258,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,160,121349,Cincinnati Financial ,13238,66386,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,273,121349,Alliance Data Systems ,18585,66546,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,305,121349,CME Group ,19050,66819,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,262,121349,Alliance Data Systems ,18585,67124,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,90,121349,Cincinnati Financial ,13238,67386,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,102,121349,L-3 Communications Holdings,13717,67476,Walt Disney 
